Apparel,relevancerank:salesrank:price:-price:-launch-date:reviewrank
Appliances,relevancerank:salesrank:price:-price:reviewrank_authority:reviewrank
Automotive,salesrank:price:-price:relevancerank:reviewrank:reviewrank_authority
Baby,salesrank:price:-price:relevancerank
Beauty,relevancerank:salesrank:price:-price:reviewrank
Books,salesrank:price:-price:inverse-pricerank:reviewrank:titlerank:-titlerank:pricerank:daterank:pubdate:-publication_date:publication_date:-unit-sales
Classical,salesrank:price:-price:inverse-pricerank:reviewrank:titlerank:-titlerank
DVD,salesrank:price:-price:inverse-pricerank:reviewrank:daterank:releasedate:titlerank:-titlerank
Electronics,inverse-pricerank:salesrank:price:daterank:reviewrank:titlerank:-titlerank
Grocery,-price:salesrank:price:relevancerank:reviewrank:reviewrank_authority
HealthPersonalCare,-price:salesrank:price:daterank:reviewrank:titlerank:-titlerank:releasedate
HomeGarden,-price:salesrank:price:daterank:reviewrank:titlerank:-titlerank
HomeImprovement,-price:salesrank:price:reviewrank
Jewelry,relevancerank:-price:salesrank:price:reviewrank:-launch-date
KindleStore,relevancerank:salesrank:price:-price:-edition-sales-velocity:reviewrank:daterank
Kitchen,daterank:-price:salesrank:price:reviewrank:titlerank:-titlerank
Lighting,relevancerank:-price:salesrank:price:reviewrank:reviewrank_authority
Luggage,relevancerank:salesrank:price:-price:reviewrank:reviewrank_authority:date-desc-rank
MP3Downloads,relevancerank:-price:salesrank:price:reviewrank:-releasedate
MobileApps,relevancerank:pmrank:price:-price:reviewrank:reviewrank_authority
Music,salesrank:reviewrank:price:inverse-pricerank:-price:releasedate:-releasedate:titlerank:-titlerank
MusicTracks,titlerank:-titlerank
MusicalInstruments,relevancerank:-price:salesrank:price:reviewrank:reviewrank_authority
OfficeProducts,salesrank:reviewrank:price:-price:relevancerank
OutdoorLiving,salesrank:reviewrank:price:-price:daterank:titlerank:-titlerank
PCHardware,psrank:salesrank:price:-price:titlerank:reviewrank:reviewrank_authority:launch_date
PetSupplies,relevancerank:salesrank:price:-price:price-new-bin:-price-new-bin:reviewrank_authority:reviewrank
Shoes,xsrelevancerank:pmrank:price:-price:reviewrank:-launch-date
Software,salesrank:price:inverse-pricerank:reviewrank:titlerank:-titlerank:daterank
SoftwareVideoGames,salesrank:price:inverse-pricerank:reviewrank:titlerank:-titlerank:daterank
SportingGoods,salesrank:price:-price:reviewrank:titlerank:-titlerank
Tools,salesrank:price:-price:reviewrank:daterank:titlerank:-titlerank
Toys,salesrank:price:-price:mfg-age-min:-mfg-age-min
VHS,daterank:salesrank:price:inverse-pricerank:-price:titlerank:-titlerank:reviewrank:releasedate
Video,daterank:salesrank:price:inverse-pricerank:-price:titlerank:-titlerank:reviewrank:releasedate
VideoGames,daterank:salesrank:price:inverse-pricerank:titlerank:-titlerank:reviewrank
Watches,relevancerank:salesrank:price:-price:titlerank:-titlerank:-launch-date:reviewrank
