Apparel,relevancerank:salesrank:pricerank:inverseprice:-launch-date:sale-flag
Appliances,salesrank:pmrank:price:-price:relevancerank:reviewrank:reviewrank_authority
ArtsAndCrafts,salesrank:pmrank:reviewrank:reviewrank_authority:relevancerank:price:-price
Automotive,salesrank:titlerank:-titlerank:relevancerank:price:-price
Baby,salesrank:psrank:titlerank:-price:price
Beauty,salesrank:-launch-date:sale-flag:pmrank:price:-price
Books,relevancerank:salesrank:reviewrank:pricerank:inverse-pricerank:daterank:titlerank:-titlerank:-unit-sales:price:-price:-publication_date
Classical,psrank:salesrank:price:-price:titlerank:-titlerank:orig-rel-date:releasedate:-orig-rel-date:-releasedate
Collectibles,salesrank:price:-price:reviewrank:reviewrank_authority:relevancerank
DVD,salesrank:price:-price:titlerank:-video-release-date:relevancerank:-releasedate
DigitalMusic,songtitlerank:uploaddaterank
Electronics,salesrank:price:-price:titlerank:pmrank:reviewrank
GiftCards,relevancerank:salesrank:price:-price:reviewrank_authority:reviewrank
GourmetFood,relevancerank:salesrank:pricerank:inverseprice:launch-date:sale-flag
Grocery,relevancerank:salesrank:pricerank:inverseprice:launch-date:sale-flag
HealthPersonalCare,pmrank:salesrank:pricerank:inverseprice:launch-date:sale-flag
HomeGarden,salesrank:price:-price:titlerank:-titlerank
Industrial,pmrank:salesrank:price:-price:titlerank:-titlerank
Jewelry,pmrank:salesrank:pricerank:inverseprice:launch-date
KindleStore,relevancerank:salesrank:-edition-sales-velocity:price:-price:reviewrank:daterank
Kitchen,pmrank:salesrank:price:-price:titlerank:-titlerank
LawnAndGarden,salesrank:price:-price:reviewrank:reviewrank_authority:relevancerank
MP3Downloads,salesrank:price:-price:-releasedate:relevancerank
Magazines,subslot-salesrank:reviewrank:price:-price:daterank:titlerank:-titlerank:-unit-sales:-publication_date
Miscellaneous,pmrank:salesrank:price:-price:titlerank:-titlerank
MobileApps,relevancerank:pmrank:price:-price:reviewrank:reviewrank_authority
Music,psrank:salesrank:price:-price:titlerank:-titlerank:artistrank:orig-rel-date:-orig-rel-date:release-date:releasedate:-releasedate:relevancerank
MusicTracks,titlerank:-titlerank
MusicalInstruments,pmrank:salesrank:price:-price:-launch-date:sale-flag
OfficeProducts,pmrank:salesrank:price:-price:reviewrank:titlerank
OutdoorLiving,psrank:salesrank:price:-price:titlerank:-titlerank
PCHardware,psrank:salesrank:price:-price:titlerank
PetSupplies,salesrank:price:-price:titlerank:-titlerank:relevance:relevancerank:reviewrank:reviewrank_authority
Photo,pmrank:salesrank:price:-price:titlerank:-titlerank
Shoes,relevancerank:xsrelevancerank:pmrank:price:-price:reviewrank:reviewrank_authority:-launch-date
Software,pmrank:salesrank:price:-price:titlerank
SportingGoods,relevancerank:relevance-fs-rank:price:-price:salesrank:pricerank:inverseprice:launch-date:sale-flag:reviewrank_authority
Tools,pmrank:salesrank:price:-price:titlerank:-titlerank
Toys,pmrank:salesrank:price:-price:titlerank:-age-min
VHS,relevancerank:salesrank:price:-price:titlerank:-video-release-date:-releasedate
Video,relevancerank:salesrank:price:-price:titlerank:-video-release-date:-releasedate
VideoGames,pmrank:salesrank:price:-price:titlerank
Watches,salesrank:price:-price:relevancerank:reviewrank
Wireless,salesrank:pricerank:inverse-pricerank:titlerank:-titlerank:daterank:reviewrank
WirelessAccessories,salesrank:psrank:titlerank:-titlerank
